no,id,begin,end,elevation,lat,lon,name,region
1,23,18910501,20150228,28,53.016,9.0411,Achim                                    ,Niedersachsen
2,446,19310101,20150422,2,53.1549,8.5396,Berne-KatjenbǏ_ttel                       ,Niedersachsen
3,518,19310101,20150422,63,53.096,10.0249,Bispingen-HǏ_tzel                         ,Niedersachsen
4,521,19310101,20150422,94,52.2842,8.251,Bissendorf-Schledehausen                 ,Niedersachsen
5,567,19310101,20150423,260,51.6956,9.5133,Bodenfelde-Amelith                       ,Niedersachsen
6,645,19310101,20150228,58,52.4036,7.9724,Bramsche                                 ,Niedersachsen
7,691,18900101,20150423,4,53.0445,8.7985,Bremen                                   ,Bremen
8,820,19310101,20150228,53,52.5119,9.8741,Burgwedel-Kleinburgwedel                 ,Niedersachsen
9,963,19310101,20150423,39,52.5881,8.3424,Diepholz                                 ,Niedersachsen
10,988,19310101,20150423,25,52.6746,8.1135,Dinklage                                 ,Niedersachsen
11,1304,19310101,20150423,48,52.3319,8.3929,"Essen-Brockhausen, Bad                   ",Niedersachsen
12,1975,18910101,20150423,11,53.6332,9.9881,Hamburg-FuhlsbǏ_ttel                      ,Hamburg
13,2011,19310101,20150423,50,52.3967,9.6627,Hannover-Herrenhausen                    ,Niedersachsen
14,2026,19310101,20150228,32,53.4496,9.4953,Harsefeld                                ,Niedersachsen
15,2355,19310101,20150423,4,53.1227,8.4201,Hude/Oldenburg                           ,Niedersachsen
16,2356,19310101,20150228,1,53.1418,8.3523,Hude/Oldenburg -Oberhausen               ,Niedersachsen
17,2380,19310101,20150228,115,52.1533,8.0438,"Iburg, Bad                               ",Niedersachsen
18,2452,19310101,20150422,28,53.301,9.9499,Jesteburg                                ,Niedersachsen
19,2465,19010101,20150423,1,53.5085,9.7363,Jork-Moorende                            ,Niedersachsen
20,2584,19310101,20150228,30,53.0292,8.4227,Hatten-Dingstede                         ,Niedersachsen
21,2663,19310101,20150422,8,53.5323,8.8686,KǏ_hlen                                   ,Niedersachsen
22,2689,19310101,20150423,40,53.2279,9.6527,KǏ_nigsmoor                               ,Niedersachsen
23,2804,19310101,20150422,63,52.2897,9.813,Laatzen-Rethen                           ,Niedersachsen
24,2822,19310101,20150423,27,53.6367,9.097,Lamstedt                                 ,Niedersachsen
25,2852,19310101,20150422,230,51.5373,10.3265,Langenhagen                              ,Niedersachsen
26,2908,18910501,20150422,7,53.2138,7.4742,Leer                                     ,Niedersachsen
27,2935,19310101,20150422,46,52.4611,8.3862,LemfǏ_rde                                 ,Niedersachsen
28,3023,19310101,20150423,22,52.5181,7.3081,Lingen                                   ,Niedersachsen
29,3093,19310101,20150423,17,52.9724,11.1374,LǏ_chow                                   ,Niedersachsen
30,3154,19310101,20150421,37,52.6111,9.51,Neustadt am RǏ_benberge-Lutter            ,Niedersachsen
